"id"|"id_registre"|"url"|"orientation"
51564|24839|http://images.cfregisters.org/M119_02_R90/M119_02_R90_139r.jpg|recto
51552|24833|http://images.cfregisters.org/M119_02_R90/M119_02_R90_127r.jpg|recto
51597|24855|http://images.cfregisters.org/M119_02_R90/M119_02_R90_172v.jpg|verso
51554|24834|http://images.cfregisters.org/M119_02_R90/M119_02_R90_129r.jpg|recto
51609|24861|http://images.cfregisters.org/M119_02_R90/M119_02_R90_184v.jpg|verso
51574|24844|http://images.cfregisters.org/M119_02_R90/M119_02_R90_149r.jpg|recto
51607|24860|http://images.cfregisters.org/M119_02_R90/M119_02_R90_182v.jpg|verso
51605|24859|http://images.cfregisters.org/M119_02_R90/M119_02_R90_180v.jpg|verso
51595|24854|http://images.cfregisters.org/M119_02_R90/M119_02_R90_170v.jpg|verso
51572|24843|http://images.cfregisters.org/M119_02_R90/M119_02_R90_147r.jpg|recto
51584|24849|http://images.cfregisters.org/M119_02_R90/M119_02_R90_159r.jpg|recto
51610|24862|http://images.cfregisters.org/M119_02_R90/M119_02_R90_185r.jpg|recto
51570|24842|http://images.cfregisters.org/M119_02_R90/M119_02_R90_145r.jpg|recto
51608|24861|http://images.cfregisters.org/M119_02_R90/M119_02_R90_183r.jpg|recto
51596|24855|http://images.cfregisters.org/M119_02_R90/M119_02_R90_171r.jpg|recto
51598|24856|http://images.cfregisters.org/M119_02_R90/M119_02_R90_173r.jpg|recto
51580|24847|http://images.cfregisters.org/M119_02_R90/M119_02_R90_155r.jpg|recto
51578|24846|http://images.cfregisters.org/M119_02_R90/M119_02_R90_153r.jpg|recto
51602|24858|http://images.cfregisters.org/M119_02_R90/M119_02_R90_177r.jpg|recto
51604|24859|http://images.cfregisters.org/M119_02_R90/M119_02_R90_179r.jpg|recto
51606|24860|http://images.cfregisters.org/M119_02_R90/M119_02_R90_181r.jpg|recto
51613|24863|http://images.cfregisters.org/M119_02_R90/M119_02_R90_188v.jpg|verso
51600|24857|http://images.cfregisters.org/M119_02_R90/M119_02_R90_175r.jpg|recto
51612|24863|http://images.cfregisters.org/M119_02_R90/M119_02_R90_187r.jpg|recto
51562|24838|http://images.cfregisters.org/M119_02_R90/M119_02_R90_137r.jpg|recto
51525|24819|http://images.cfregisters.org/M119_02_R90/M119_02_R90_100v.jpg|recto
51627|24870|http://images.cfregisters.org/M119_02_R90/M119_02_R90_202v.jpg|verso
51633|24873|http://images.cfregisters.org/M119_02_R90/M119_02_R90_208v.jpg|verso
51635|24874|http://images.cfregisters.org/M119_02_R90/M119_02_R90_210v.jpg|verso
51614|24864|http://images.cfregisters.org/M119_02_R90/M119_02_R90_189r.jpg|recto
51616|24865|http://images.cfregisters.org/M119_02_R90/M119_02_R90_191r.jpg|recto
51629|24871|http://images.cfregisters.org/M119_02_R90/M119_02_R90_204v.jpg|verso
51620|24867|http://images.cfregisters.org/M119_02_R90/M119_02_R90_195r.jpg|recto
51632|24873|http://images.cfregisters.org/M119_02_R90/M119_02_R90_207r.jpg|recto
51659|24886|http://images.cfregisters.org/M119_02_R90/M119_02_R90_234v.jpg|verso
51665|24889|http://images.cfregisters.org/M119_02_R90/M119_02_R90_240v.jpg|verso
51647|24880|http://images.cfregisters.org/M119_02_R90/M119_02_R90_222v.jpg|verso
51661|24887|http://images.cfregisters.org/M119_02_R90/M119_02_R90_236v.jpg|verso
51669|24891|http://images.cfregisters.org/M119_02_R90/M119_02_R90_244v.jpg|verso
51634|24874|http://images.cfregisters.org/M119_02_R90/M119_02_R90_209r.jpg|recto
51640|24877|http://images.cfregisters.org/M119_02_R90/M119_02_R90_215r.jpg|recto
51663|24888|http://images.cfregisters.org/M119_02_R90/M119_02_R90_238v.jpg|verso
51624|24869|http://images.cfregisters.org/M119_02_R90/M119_02_R90_199r.jpg|recto
51655|24884|http://images.cfregisters.org/M119_02_R90/M119_02_R90_230v.jpg|verso
51667|24890|http://images.cfregisters.org/M119_02_R90/M119_02_R90_242v.jpg|verso
51628|24871|http://images.cfregisters.org/M119_02_R90/M119_02_R90_203r.jpg|recto
51671|24892|http://images.cfregisters.org/M119_02_R90/M119_02_R90_246v.jpg|verso
