"id"|"id_auteur"|"titre"|"genre"|"actes"|"prose_vers"|"prologue"|"musique_danse_machine"|"titre_alternatif"|"date_de_creation"
5200|{115}|Le Temps passé ou le Triomphe du temps passé (Le)|comédie|1|prose|false|true||1724-10-18
5203|{115}|Triomphe du temps (Le)|divertissement comique|3|prose|true|true||1724-10-18
5206|{14}|Tuteur amoureux (Le) ou Le Tuteur|comédie|1|prose|false|false||1695-07-13
5215|{49}|École des amis (L')|comédie|5|vers|false|false||1737-02-25
5216|{190}|École des bourgeois (L')|comédie|3|prose|true|false||1728-09-20
5217|{2}|École des femmes (L')|comédie|5|prose|false|false||
5218|{2}|École des maris (L')|comédie|3|prose|false|false||
5221|{91}|École des pères ou les Fils ingrats (L')|comédie|5|vers|false|false||1728-10-21
5226|{5}|Enfant prodigue ou L'École de la jeunesse (L')|comédie|5|vers|false|false||1736-10-10
5230|{51}|Épreuve (L')|comédie|1|prose|false|false||
5234|{115}|Épreuve réciproque (L')|comédie|1|prose|false|false||1711-10-06
5240|{115,197}|Amazones modernes (Les) ou Le Triomphe des dames|comédie|3|prose|false|true|Triomphe des Dames |1727-10-29
5245|{14}|Bourgeoises à la mode (Les)|comédie|5|prose|false|false||1692-11-15
5255|{118}|Dehors trompeurs ou l'Homme du jour (Les)|comédie|5|vers|false|false||1740-02-18
5260|{118}|Deux nièces (Les)|comédie|5|vers|false|false||1737-01-24
5268|{89}|Ésope (titre alt.) / Fables d'Ésope ou Ésope à la ville (Les)|comédie|5|vers et vers libres|true|false||1690-01-18
5276|{2}|Femmes savantes (Les)|comédie|5|vers|false|false||
5277|{1}|Folies amoureuses (Les)|comédie|3|vers et vers libres|true|true||1704-01-15
5278|{2}|Fourberies de Scapin (Les)|comédie|3|prose|false|false||
5282|{98}|Machabées (Les)|tragédie|5|vers|false|false||1721-03-06
5284|{1}|Ménechmes ou les Jumeaux (Les)|comédie|5|vers et vers libres|true|false||1705-12-04
5291|{18}|Originaux (Les) - Troisième partie des Caractères de Thalie|comédie|1|prose|false|true||1737-07-18
5292|{115}|Paniers ou la Vieille précieuse (Les) / Les Poupées (titre alt.)|comédie|1|prose|false|true||1723-02-25
5294|{15}|Plaideurs (Les)|comédie|3|vers|false|false||
5295|{2}|Précieuses ridicules (Les)|comédie|1|prose|false|true||
5300|{184}|Ruses d'Amour (Les)|comédie|3|vers|false|false||1736-04-30
5303|{14}|Trois cousines (Les)|comédie|3|prose|true|true||1700-10-18
5305|{182}|Trois Gascons (Les)|comédie|1|prose|false|true||1701-06-04
5309|{14}|Vacances (Les) / Les Vacances des procureurs (titre alt.)|comédie|1|prose|false|true||1696-10-31
5311|{14}|Vendanges de Suresnes (Les)|comédie|1|prose|false|true||1695-10-15
5316|{77}|Esprit follet ou la Dame invisible (L')|comédie|5|vers|false|false||1684-02-22
5318|{18}|Étourderie (L')|comédie|1|prose|false|false||1737-07-18
5319|{2}|Étourdi ou les Contretemps (L')|comédie|5|vers|false|false||
5322|{109}|Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).|comédie|5|prose|false|false||1686-01-31
5328|{81}|Île sauvage (L')|comédie|3|prose|true|true||1743-07-08
5332|{147}|Important de cour (L') ou Important (L')|comédie|5|prose|false|false||1693-12-16
5333|{184}|Impromptu de campagne (L')|comédie|1|vers|false|false||1733-12-21
5340|{5}|Indiscret (L')|comédie|1|vers|false|false||1725-08-18
5341|{20}|Ingrat (L')|comédie|5|vers|false|false||1712-01-28
5342|{18}|Inquiet (L')|comédie|1|vers|false|false||1737-07-18
5344|{20}|Obstacle imprévu ou l'Obstacle sans obstacle (L')|comédie|5|prose|false|false||1717-10-18
5347|{81}|Oracle (L')|comédie|1|prose|false|true||1740-03-22
5354|{115}|Usurier gentilhomme (L')|comédie|1|prose|false|true||1713-09-11
5356|{5}|Fanatisme ou Mahomet le prophète (Le)|tragédie|5|vers|false|false||1742-08-09
5357|{108}|Mahomet second|tragédie|5|vers|false|false||1739-02-23
5359|{223}|Manlius Capitolinus|tragédie|5|vers|false|false||1698-01-18
5361|{224}|Marius|tragédie|5|vers|false|false||1715-11-15
5363|{225}|Médée ou Médée et Jason|tragédie|5|vers|false|false||1694-02-13
5367|{49}|Mélanide|comédie|5|vers|false|false||1741-05-12
5370|{5}|Mérope|tragédie|5|vers|false|false||1743-02-20
5372|{15}|Mithridate|tragédie|5|vers|false|false||
5374|{197}|Momus fabuliste ou les Noces de Vulcain ou Momus fabuliste ou le Mariage de Vénus et de Vulcain|comédie|1|prose et vers libres|false|true||1719-09-26
5376|{2}|Monsieur de Pourceaugnac|comédie-ballet|3|prose|false|true||
5382|{71}|Nicomède|tragédie|5|vers|false|false||
5385|{5}|Œdipe|tragédie|5|vers|false|false||1718-11-18
5396|{15}|Phèdre et Hippolyte ou Phèdre|tragédie|5|vers|false|false||
5401|{71}|Polyeucte, martyr |tragédie|5|vers|false|false||
5405|{64}|Pyrrhus|tragédie|5|vers|false|false||1726-04-29
5409|{64}|Rhadamiste et Zénobie|tragédie|5|vers|false|false||1711-01-23
5412|{71}|Rodogune ou Rodogune, princesse des Parthes|tragédie|5|vers|false|false||
5421|{71}|Sertorius|tragédie|5|vers|false|false||
5422|{2}|Sganarelle ou le Cocu imaginaire|comédie|1|vers|false|false||
5427|{2}|Tartuffe ou l'Imposteur|comédie|5|vers|false|false||
5433|{79}|Turcaret|comédie|5|prose|false|false||1709-02-14
5436|{242}|Venceslas|tragédie|5|vers|false|false||
5441|{5}|Zaïre|tragédie|5|vers|false|false||1732-08-13
5446|{135}|Zénéïde|comédie|1|vers|false|true||1743-05-13
5449|{5}|Zulime|tragédie|5|vers|false|false||1740-06-08
5451|{245,56}|Inconnu (L')|comédie|5|vers|true|true||1675-11-17
5452|{246}|Aben-Saïd, empereur des Mogols|tragédie|5|vers|false|false||1735-06-06
5453|{159}|Achille dans l'île de Scyros|comédie héroïque|3|vers|false|false||1737-10-10
5456|{248,247}|Aégiste|tragédie|5|vers|false|false||1721-11-18
5463|{118}|Admète et Alceste / La Mort d'Alceste (titre alt.)|tragédie|5|vers|false|false||1727-01-25
5464|{184}|Alcibiade|comédie|3|vers|false|false||1731-02-23
5465|{50}|Alcibiade|tragédie|5|vers|false|false||1685-12-28
5468|{184}|Amour secret (L')|comédie|1|vers|false|false||1740-10-05
5473|{252}|Antiochus et Cléopâtre|tragédie|5|vers|false|false||1717-10-29
