"id"|"id_registre"|"id_piece"|"debut"|"reprise"|"ordre"|"gratuit"|"notes_public"|"notes_lieu"|"notes_representation"
38625|26014|4948|false|false|1|false|||
39759|26669|5284|false|false|1|false|||
42607|27475|5117|false|false|1|false|||Le Bal du Roy
40506|27205|5127|false|false|1|false|L'ambassadeur du Grand Seigneur||
40535|27224|4885|false|false|1|false|||
41921|27152|4856|false|false|1|false|Zaïd Essendi ambassadeur extraordinaire de la Porte||
41922|27126|5112|false|false|1|false|Zaïd Essendy Ambassadeur Extraordinaire de la Porte||
44179|34351|5596|false|false|1|false|||
47276|33297|5165|false|false|1|false|||
45948|33864|5245|false|false|1|false|||
46636|33462|5170|false|false|2|false|||
47035|29717|5016|false|false|2|false|Duc et Duchesse de Chartres||
47075|33413|5277|false|false|2|false|||
48014|33639|5303|false|false|1|false|||
49766|28445|5160|false|false|1|false|||
50386|28297|4859|false|false|1|false|||
52133|27671|5008|false|false|2|false|||
52837|24950|5155|false|false|2|false|||
52853|24955|4987|false|false|2|false|||
42004|27152|5376|false|false|2|false|Zaïd Essendi ambassadeur extraordinaire de la Porte||
42005|27126|5303|false|false|2|false|Zaïd Essendy Ambassadeur Extraordinaire de la Porte||
63675|42175|4972|false|false|1|false|Madame la duchesse du Berry||
63676|42175|5311|false|false|2|false|Madame la duchesse du Berry||
63651|42162|4872|false|false|1|false|Madame la duchesse du Berry||
63652|42162|4904|false|false|2|false|Madame la duchesse du Berry||
63600|42151|4865|false|false|1|false|Madame la duchesse du Berry||
64248|42203|5021|false|false|1|false|Madame la duchesse du Berry||
64249|42203|5560|false|false|2|false|Madame la duchesse du Berry||
64238|42196|5524|false|false|1|false|Madame la duchesse de Berry||
64239|42196|5107|false|false|2|false|Madame la duchesse de Berry||
70480|43908|5385|false|true|1|false|||Première reprise
70484|43910|5385|false|true|1|false|||"2e d'Oedipe"
68275|42407|5670|false|false|1|false|Madame la duchesse du Berry||
69066|42841|5596|false|false|1|false|Madame de Loraine||
69067|42841|5311|false|false|2|false|Madame de Loraine||
63601|42151|5277|false|false|2|false|Madame la duchesse du Berry||
68276|42407|4973|false|false|2|false|Madame la duchesse du Berry||
68190|42362|4943|false|false|1|false|Madame la duchesse du Berry||
68191|42362|5062|false|false|2|false|Madame la duchesse du Berry||
68929|42763|5626|false|false|1|false|Madame la duchesse du Berry||
68930|42763|5769|false|false|2|false|Madame la duchesse du Berry||
71500|45469|5385|true|false|1|false|Ambassadeur||
71501|45469|5094|false|false|2|false|Ambassadeur||
72553|42219|5382|false|false|1|false|La duchesse de Berry||
72554|42219|5376|false|false|2|false|La duchesse de Berry||
68449|42499|5812|false|true|1|false|Madame la duchesse du Berry||
38407|26130|5124|false|false|2|false|||
40314|27176|5401|false|false|1|false||"1ere au Palais Royal"|
40325|27183|5689|false|false|1|false||"2e représentation au Palais Royal"|
40501|27202|5162|false|false|1|false||"5e représentation au Palais Royal"|
40531|27221|5006|false|false|1|false||"8e représentation au Palais Royal"|
40538|27226|4885|false|false|1|false||"9e représentation au Palais Royal"|
40549|27233|4926|false|false|1|false||"10e représentation au Palais Royal"|
40472|27190|5689|false|false|1|false||"3e au Palais Royal "|
40511|27208|5051|false|false|1|false||"6e représentation au Palais Royal"|
40522|27215|4872|false|false|1|false||"7e représentation au Palais Royal"|
40580|27253|4879|false|false|1|false||"12e représentation au Palais Royal"|
40654|27273|4950|false|false|1|false||"15e représentation au Palais Royal"|
40678|27286|5059|false|false|1|false||"17e représentation au Palais Royal"|
40684|27292|5157|false|false|1|false||"18e représentation au Palais Royal"|
40634|27260|5670|false|false|1|false||"13e représentation au Palais Royal"|
40560|27240|4943|false|false|1|false||"11e représentation au Palais Royal"|
40669|27280|4879|false|false|1|false||"16e représentation au Palais Royal"|
41137|27299|5372|false|false|1|false||"19e représentation au Palais Royal"|
41407|27373|5284|false|false|1|false||"29e Représentation au Palais Royal"|
41205|27305|5217|false|false|1|false||"20e représentation au Palais Royal"|
41253|27319|5136|false|false|1|false||"22e représentation au Palais Royal"|
41277|27326|5092|false|false|1|false||"23e représentation au Palais Royal"|
41289|27332|4858|false|false|1|false||"24e représentation au Palais Royal"|
41317|27346|5646|false|false|1|false||"26e représentation au Palais Royal"|
41226|27312|5014|false|false|1|false||"21e représentation au Palais Royal"|
41303|27339|5086|false|false|1|false||"25e représentation au Palais Royal"|
41368|27353|5427|false|false|1|false||"27e représentation au Palais Royal"|
41380|27359|5136|false|false|1|false||"28e Représentation au Palais Royal"|
41453|27387|5837|false|false|1|false||"31e Représentation au Palais Royal"|
41462|27393|5316|false|false|1|false||"32e Représentation au Palais Royal"|
41476|27400|5401|false|false|1|false||"33e Représentation au Palais Royal"|
41502|27412|5099|false|false|1|false||"34e Représentation au Palais Royal"|
41542|27432|5670|false|false|1|false||"37e Représentation  au Palais Royal"|
41514|27419|5427|false|false|1|false||"35e Représentation au Palais Royal"|
41556|27438|5832|true|false|1|false||"38e Représentation au Palais Royal"|
41526|27425|5832|true|false|1|false||"36e Représentation au Palais Royal"|
42579|27458|5140|false|false|1|false||"41e Représentation au Palais Royal"|
42590|27465|5322|false|false|1|false||"42e Représentation au Palais Royal"|
42610|27477|4857|false|false|1|false||"43e Représentation au Palais Royal"|
42624|27484|5385|false|false|1|false||"44e Représentation au Palais Royal"|
42556|27444|5021|false|true|1|false||"39e Représentation au Palais Royal"|
46494|33231|4948|true|false|1|false||Palais Royal|
46495|33231|5277|false|false|2|false||Palais Royal|
42566|27451|5832|true|false|1|false||"40e Représentation au Palais Royal"|
41418|27380|5456|true|false|1|false||"30e Représentation au Palais Royal"|
40495|27196|5881|false|true|1|false||"4e représentation au Palais Royal"|
62733|27196|5218|false|false|2|false||Palais-Royal|
65724|44280|5165|true|false|1|false||Palais Royal|
65951|44206|5830|false|false|1|false||Palais Royal|
65952|44206|5311|false|false|2|false||Palais Royal|
66096|44127|5160|false|false|1|false||Palais Royal|
66097|44127|5062|false|false|2|false||Palais Royal|
66005|44171|5160|false|false|1|false||Palais Royal|
66014|44165|4857|false|false|1|false||Palais Royal|
66015|44165|5064|false|false|2|false||Palais Royal|
66025|44158|5814|false|false|1|false||Palais Royal|
66035|44153|5814|false|false|1|false||Palais Royal|
66036|44153|5422|false|false|2|false||Palais Royal|
66046|44147|5294|false|false|1|false||Palais Royal|
66047|44147|4904|false|false|2|false||Palais Royal|
66066|44140|4872|false|false|1|false||Palais Royal|
66107|44120|18|false|false|1|false||Palais Royal|
66108|44120|5560|false|false|2|false||Palais Royal|
68933|42765|5396|false|false|1|false||Palais Royal|
68934|42765|5769|false|false|2|false||Palais Royal|
69325|43783|4894|false|false|1|false||Au Palais Royal|Première
69337|43790|5401|false|false|1|false||Au Palais Royal|"2e"
69363|43161|5480|false|false|1|false||Palais Royal|
69364|43161|5104|false|false|2|false||Palais Royal|
69342|43148|4937|false|false|1|false||Palais Royal|
69343|43148|1345|false|false|2|false||Palais Royal|
69353|43154|5322|false|false|1|false||Palais Royal|
69389|43804|4885|false|false|1|false||Au Palais Royal|"4e "
69399|43811|5372|false|false|1|false||Au Palais Royal|"5e"
69414|43168|5480|false|false|1|false||Palais Royal|
69415|43168|5149|false|false|2|false||Palais Royal|
69452|43193|5067|false|false|1|false||Palais Royal|
69487|43220|5268|false|false|1|false||Palais Royal|
69460|43199|5117|false|false|1|false||Palais Royal|
69441|43186|4858|false|false|1|false||Palais Royal|
69442|43186|5311|false|false|2|false||Palais Royal|
69426|43175|5319|false|false|1|false||Palais Royal|
69469|43206|5523|false|false|1|false||Palais Royal|
69737|43823|5819|false|false|1|false||au Palais Royal|"6e"
69749|43830|5382|false|false|1|false||Au Palais Royal|"7e"
69758|43836|5160|false|false|1|false||au Palais Royal|"8e"
69777|43850|5086|false|false|1|false||au Palais Royal|"10e"
69766|43843|5158|false|false|1|false||au Palais Royal|"9e"
70389|43857|5158|false|false|1|false||Au Palais Royal|"11e"
70400|43864|5014|false|false|1|false||au Palais Royal|"12e"
70411|43871|4950|false|false|1|false||au Palais Royal|"13e "
70521|43934|5322|false|false|1|false||au Palais Royal|"22e"
70422|43878|5217|false|false|1|false||au Palais Royal|"14e"
70446|43892|5712|false|false|1|false||au Palais Royal|"16e"
70500|43919|5284|false|false|1|false||au Palais Royal|"20e"
70465|43899|5140|false|false|1|false||au Palais Royal|"17e"
70432|43885|5412|false|false|1|false||au Palais Royal|"15e"
70476|43906|4914|false|false|1|false||au Palais Royal|"18e"
70512|43928|5421|false|false|1|false||au Palais Royal|"21e"
70529|43939|4858|false|false|1|false||au Palais Royal|"23e"
70541|43946|4972|false|false|1|false||au Palais Royal|"24e"
70560|43953|5436|false|false|1|false||au Palais Royal|"25e"
70574|43960|4881|false|false|1|false||au Palais Royal|"26e"
